Name	goldstandard2
cg00000292	0.807065832
cg00002426	0.745218044
cg00003994	0.062556999
cg00005847	0.1798734
cg00007981	0.062984942
cg00008493	0.971130547
cg00008713	0.020413297
cg00009407	0.022186095
cg00011459	0.853160814
cg00012199	0.037276252
cg00012386	0.018965757
cg00012792	0.013564879
cg00013618	0.856782805
cg00014085	0.041605537
cg00014837	0.771085494
cg00015770	0.106963772
cg00019495	0.262681025
cg00020533	0.877062453
cg00021527	0.02945056
cg00022866	0.470988652
cg00024396	0.054048788
cg00024812	0.063718294
cg00025991	0.438808135
cg00027083	0.068359398
cg00027674	0.139761294
cg00029826	0.186396239
cg00031162	0.628578944
cg00032227	0.02115328
cg00033516	0.037058845
cg00033773	0.967174141
cg00034039	0.062801967
cg00035347	0.483484466
cg00035623	0.076442444
cg00037763	0.86852085
cg00037940	0.867478301
cg00040861	0.033019125
cg00040873	0.177448766
cg00043004	0.058069515
cg00043080	0.887259498
cg00044245	0.05236297
cg00047050	0.106925222
cg00047469	0.020110389
cg00050312	0.021087837
cg00051979	0.114410191
cg00054706	0.043036312
cg00056767	0.041382159
cg00057593	0.720593255
cg00058938	0.380592872
cg00059424	0.053517138
cg00059930	0.655706183
cg00060762	0.045479243
cg00061059	0.103778964
cg00062776	0.983133678
cg00063144	0.865874163
cg00065385	0.873157982
cg00065408	0.020538026
cg00066816	0.244976954
cg00067471	0.164007399
cg00069261	0.059486469
cg00071250	0.591541724
cg00072216	0.033678145
cg00075967	0.790221397
cg00076645	0.044240407
cg00077877	0.621408113
cg00078194	0.038096842
cg00079056	0.816093144
cg00079563	0.028494989
cg00080012	0.024004122
cg00081935	0.064140613
cg00083937	0.589026926
cg00084687	0.021446432
cg00089071	0.04619579
cg00090147	0.084724419
cg00091693	0.681442958
cg00094851	0.026458992
cg00095526	0.839617219
cg00096922	0.078925138
cg00097536	0.026331214
cg00098162	0.789331316
cg00101227	0.858137247
cg00103783	0.01835019
cg00105253	0.058451232
cg00105470	0.066483546
cg00107187	0.09084909
cg00107488	0.247534309
cg00107632	0.018979687
cg00108454	0.573662094
cg00109274	0.015917729
cg00112517	0.122928554
cg00113020	0.754568847
cg00113951	0.127858362
cg00116234	0.098573238
cg00116838	0.077346736
cg00117172	0.022690158
cg00119079	0.053046299
cg00121158	0.021810798
cg00121640	0.039086147
cg00123035	0.053965143
cg00126034	0.037755537
cg00128560	0.917853257
cg00128654	0.037135145
cg00128877	0.080077551
cg00129774	0.058930601
cg00131557	0.879780318
cg00132141	0.528313012
cg00133909	0.029674835
cg00134787	0.72541461
cg00135056	0.116925437
cg00136105	0.044070596
cg00136477	0.773300025
cg00136736	0.061796929
cg00138126	0.668420623
cg00141162	0.086311551
cg00143376	0.463701355
cg00145118	0.436053218
cg00146096	0.033659992
cg00149659	0.052305036
cg00149976	0.026603655
cg00151607	0.015926854
cg00155167	0.060826153
cg00155485	0.077566439
cg00155609	0.032314803
cg00156216	0.056740882
cg00156744	0.023029753
cg00158308	0.054591499
cg00160914	0.257385377
cg00162401	0.033240691
cg00162643	0.088774867
cg00164898	0.041429277
cg00167504	0.026790346
cg00168082	0.07843218
cg00168785	0.115533948
cg00168942	0.5515148
cg00171126	0.0677239
cg00171161	0.066974252
cg00174500	0.898107541
cg00174901	0.273277711
cg00176210	0.386640943
cg00176879	0.988440509
cg00177013	0.033754025
cg00177698	0.040222448
cg00177923	0.039040144
cg00178790	0.036277764
cg00180012	0.049536283
cg00183916	0.023745823
cg00184893	0.037194928
cg00185103	0.733713751
cg00185839	0.028164212
cg00186701	0.268465094
cg00186954	0.662771713
cg00187380	0.118442869
cg00187686	0.258516732
cg00194146	0.107982648
cg00195561	0.888584587
cg00197641	0.044009313
cg00199549	0.958052968
cg00200063	0.047232504
cg00201234	0.039316481
cg00202702	0.031476804
cg00206052	0.061630109
cg00208830	0.804724879
cg00208967	0.14838035
cg00209066	0.921196968
cg00209951	0.085835472
cg00210842	0.045778659
cg00211661	0.038052677
cg00213331	0.866179467
cg00213714	0.063837979
cg00214855	0.123596043
cg00215066	0.947250349
cg00216361	0.042323409
cg00216758	0.048753036
cg00217795	0.515033957
cg00221494	0.031910215
cg00223186	0.047170289
cg00223950	0.044526331
cg00224508	0.030491656
cg00226904	0.700645259
cg00226923	0.947950932
cg00228799	0.056804669
cg00229387	0.40654041
cg00230271	0.074791523
cg00230368	0.041321147
cg00230502	0.117623727
cg00231644	0.224651782
cg00231920	0.021382736
cg00233307	0.056125078
cg00234616	0.121104504
cg00234961	0.043024376
cg00236832	0.111395438
cg00237010	0.752268722
cg00239071	0.981192502
cg00239685	0.097338134
cg00240432	0.025264671
cg00240880	0.914547432
cg00241355	0.025996863
cg00242839	0.677215164
cg00243313	0.031605155
cg00247489	0.037996572
cg00250430	0.090984984
cg00253200	0.03627213
cg00256074	0.85556828
cg00256166	0.03898989
cg00256281	0.015243532
cg00261552	0.070401225
cg00261781	0.026503474
cg00262415	0.040772673
cg00263760	0.07467346
cg00265415	0.020825245
cg00265490	0.115253381
cg00268009	0.029904852
cg00268338	0.024117208
cg00269115	0.026197864
cg00273068	0.091226077
cg00273124	0.913175359
cg00274399	0.073080135
cg00275232	0.05293786
cg00276797	0.043598145
cg00278366	0.234969685
cg00280814	0.877212633
cg00282347	0.064726732
cg00282683	0.028746509
cg00288562	0.043456761
cg00290028	0.026220325
cg00290506	0.031060031
cg00291877	0.105954538
cg00292662	0.02856158
cg00292971	0.636111796
cg00293409	0.067299846
cg00294382	0.126329368
cg00295206	0.038717264
cg00297584	0.057825852
cg00297600	0.484395402
cg00298357	0.955847231
cg00302793	0.018300688
cg00303548	0.047634302
cg00307685	0.874985938
cg00308133	0.012100286
cg00308665	0.544997339
cg00309056	0.049857921
cg00309204	0.052303822
cg00311768	0.861758332
cg00312919	0.029613944
cg00314943	0.85307559
cg00315936	0.128247798
cg00317680	0.118406368
cg00318573	0.151138632
cg00318865	0.026381804
cg00319692	0.751189832
cg00320243	0.02632079
cg00321478	0.902993606
cg00323915	0.551464252
cg00324733	0.036951869
cg00325491	0.652480955
cg00327185	0.109373116
cg00327483	0.940251955
cg00328227	0.222834259
cg00332153	0.042259296
cg00332745	0.042217545
cg00333226	0.097707128
cg00333528	0.213679529
cg00334507	0.621764109
cg00335286	0.625303824
cg00336605	0.051585826
cg00338702	0.102317863
cg00338893	0.075119516
cg00340102	0.146344481
cg00342530	0.763863714
cg00343092	0.039118503
cg00344358	0.938595648
cg00344372	0.827926623
cg00346145	0.089083727
cg00347729	0.61450722
cg00347904	0.17002532
cg00350296	0.17947805
cg00350478	0.805052689
cg00350702	0.040799185
cg00353953	0.358900814
cg00354572	0.105053799
cg00355802	0.07996465
cg00359325	0.025777517
cg00363813	0.013872881
cg00364814	0.741028578
cg00367438	0.115253489
cg00368415	0.011996577
cg00371195	0.868965567
cg00374717	0.89001929
cg00375964	0.081877065
cg00376639	0.092405848
cg00380464	0.029662766
cg00381076	0.020640014
cg00384537	0.75544984
cg00386408	0.169467613
cg00387170	0.080355103
cg00393585	0.107951691
cg00394658	0.408954201
cg00396163	0.074064351
cg00396894	0.770134589
cg00397740	0.061775378
cg00398048	0.306102788
cg00399483	0.161873586
cg00400263	0.937439192
cg00402366	0.059000382
cg00405070	0.056198316
cg00405568	0.069942376
cg00405677	0.042690005
cg00407150	0.843889383
cg00410419	0.039019669
cg00410576	0.027901143
cg00410895	0.690795826
cg00410898	0.183993795
cg00411097	0.342952423
cg00412772	0.62164434
cg00412805	0.951699443
cg00413066	0.923262979
cg00415993	0.324133907
cg00417297	0.040763178
cg00418150	0.282554048
cg00419564	0.049680245
cg00420568	0.099726231
cg00420715	0.031489442
cg00420929	0.395630591
cg00422913	0.052918167
cg00424946	0.036704424
cg00425710	0.744596474
cg00426056	0.025780423
cg00426498	0.197416716
cg00426963	0.0499916
cg00427635	0.286439321
cg00430287	0.769341581
cg00430945	0.024074756
cg00431050	0.626814387
cg00431549	0.260718506
cg00432979	0.042691521
cg00433406	0.871119907
cg00435408	0.076316107
cg00436282	0.780924294
cg00436301	0.052691896
cg00436603	0.81553525
cg00441382	0.015568151
cg00445824	0.030906648
cg00446235	0.0589989
cg00447208	0.033689532
cg00448720	0.871739052
cg00449941	0.056383279
cg00451635	0.693190255
cg00453193	0.009295375
cg00459975	0.038782731
cg00461841	0.67863586
cg00462994	0.042062212
cg00463202	0.931061062
cg00463577	0.031867575
cg00463848	0.749743714
cg00464269	0.031124363
cg00465284	0.054167963
cg00466249	0.4574588
cg00466492	0.947714751
cg00466544	0.04219793
cg00468146	0.121794484
cg00469635	0.009483198
cg00471562	0.01742115
cg00472814	0.031987008
cg00474004	0.681570327
cg00474209	0.062869466
cg00475955	0.028350765
cg00476580	0.020605252
cg00479269	0.073401305
cg00480115	0.850893407
cg00480356	0.18334172
cg00483154	0.0189218
cg00485296	0.014945003
cg00485380	0.046645258
cg00487159	0.024626983
cg00488718	0.04101764
cg00489401	0.099415799
cg00491404	0.840210213
cg00491839	0.058790111
cg00493400	0.04583526
cg00495415	0.039929305
cg00495442	0.074806811
cg00496170	0.033424985
cg00497251	0.036944897
cg00498305	0.384936774
cg00499599	0.057175717
cg00499822	0.104199706
cg00500400	0.057822054
cg00501366	0.844970733
cg00502442	0.03552697
cg00503458	0.129286612
cg00503840	0.153317363
cg00504595	0.478972114
cg00509616	0.152098807
cg00510787	0.757484387
cg00510956	0.852305728
cg00511475	0.421606677
cg00512031	0.871539976
cg00512279	0.025820901
cg00512374	0.032944121
cg00513467	0.084313913
cg00514407	0.04524965
cg00514895	0.042009161
cg00515905	0.926053863
cg00516481	0.246266952
cg00518989	0.026243111
cg00519627	0.025816387
cg00520135	0.911911339
cg00521434	0.835298888
cg00522034	0.013096106
cg00522316	0.052663584
cg00528052	0.014578379
cg00528967	0.018845539
cg00532335	0.72294573
cg00532890	0.048308782
cg00534274	0.261617959
cg00537910	0.917521644
cg00539322	0.697886403
cg00539716	0.049114316
cg00540544	0.016300284
cg00544557	0.926065113
cg00545573	0.105673847
cg00546491	0.299773861
cg00546897	0.471526503
cg00547018	0.245650766
cg00548060	0.698134024
cg00548268	0.372390276
cg00550617	0.574426162
cg00551244	0.855743362
cg00554173	0.85702804
cg00554250	0.162774929
cg00554682	0.042820783
cg00554702	0.224510211
cg00556408	0.86802333
cg00559473	0.03412232
cg00560119	0.069101031
cg00563229	0.028766868
cg00563926	0.168005292
cg00563932	0.570749371
cg00564163	0.19065891
cg00565075	0.156856489
cg00565688	0.115469517
cg00566759	0.048430045
cg00567479	0.081609958
